Discount Rate,CAPEX ($/kW),Capacity Factor (%),Economic Life (Years),Capital Recovery Factor,Fixed O&M Cost Fraction,Variable O&M Cost ($/MWh),LCOE ($/MWh),Technology
0.0005,3798.043130941723,35,30,0.06505143508027658,0.022,0,107.83597685755507,WOF-357
0.0005,2350.0,25,25,0.07095245729922962,0.022,0,99.74350440784916,WOF-357
0.0005,2350.0,25,30,0.06505143508027658,0.022,0,93.41135727792236,WOF-357
0.0005,2350.0,30,25,0.07095245729922962,0.022,0,83.11958700654095,WOF-357
0.0005,2350.0,30,30,0.06505143508027658,0.022,0,77.84279773160196,WOF-357
0.0005,2350.0,35,25,0.07095245729922962,0.022,0,71.24536029132082,WOF-357
0.0005,2350.0,35,30,0.06505143508027658,0.022,0,66.72239805565883,WOF-357
0.0003,5246.086261883446,30,25,0.05742787103912782,0.022,0,158.55611227892638,WOF-357
0.0003,5246.086261883446,30,30,0.0510192593202526,0.022,0,145.76306437324277,WOF-357
0.0003,5246.086261883446,35,25,0.05742787103912782,0.022,0,135.9052390962226,WOF-357
0.0003,5246.086261883446,35,30,0.0510192593202526,0.022,0,124.93976946277952,WOF-357
0.0003,5246.086261883446,45,25,0.05742787103912782,0.022,0,105.7040748526176,WOF-357
0.0003,5246.086261883446,45,30,0.0510192593202526,0.022,0,97.17537624882851,WOF-357
0.0003,3798.043130941723,25,25,0.05742787103912782,0.022,0,137.7490776280751,WOF-357
0.0003,3798.043130941723,25,30,0.0510192593202526,0.022,0,126.6348384875515,WOF-357
0.0003,3798.043130941723,30,25,0.05742787103912782,0.022,0,114.79089802339591,WOF-357
0.0003,3798.043130941723,30,30,0.0510192593202526,0.022,0,105.52903207295958,WOF-357
0.0003,3798.043130941723,35,25,0.05742787103912782,0.022,0,98.39219830576793,WOF-357
0.0003,3798.043130941723,35,30,0.0510192593202526,0.022,0,90.45345606253679,WOF-357
0.0003,2350.0,25,25,0.05742787103912782,0.022,0,85.23082052143853,WOF-357
0.0003,2350.0,25,30,0.0510192593202526,0.022,0,78.3539997272117,WOF-357
0.0003,2350.0,30,25,0.05742787103912782,0.022,0,71.02568376786544,WOF-357
0.0003,2350.0,30,30,0.0510192593202526,0.022,0,65.29499977267642,WOF-357
0.0003,2350.0,35,25,0.05742787103912782,0.022,0,60.87915751531324,WOF-357
0.0003,2350.0,35,30,0.0510192593202526,0.022,0,55.96714266229407,WOF-357
0.0007000000000000001,5246.086261883446,30,25,0.08581051722066561,0.0269,0,224.9958508223407,WOF-357
0.0007000000000000001,5246.086261883446,30,30,0.0805864035111112,0.0269,0,214.5673305931891,WOF-357
